Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Barley Cutlets (Lemon-Dressed),40,2.5,2,"Spicy,Astringent",Total in 20 M,Cook barley. Roast black pepper in olive oil. Add boiled banana stem. Mix salt. Serve warm.,Seed-mix barley cutlets improve healthy fat intake and support blood sugar.,10,"Barley,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",2
Barley Cutlets (seed-Mix),30,2,2,"Spicy,Astringent",Total in 20 M,Cook barley. Roast almonds in olive oil. Add boiled banana stem. Mix black pepper. Serve warm.,Seed-mix barley cutlets provide healthy fats and fiber to support blood sugar management.,10,"Barley,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",2
Barley Cutlets (sprouted),40,2.5,1,"Spicy,Astringent",Total in 20 M,Cook barley. Roast turmeric and ginger in olive oil. Add boiled banana stem. Mix black pepper. Serve warm.,Barley cutlets improve digestion and glycemic control.,10,"Barley,Olive Oil,Black Pepper",1
Barley Dosa Variant (fermented),80,3,0.5,"Spicy,Astringent",Total in 25 M,Cook barley. Slightly ferment broccoli. Mix with barley. Add olive oil. Serve warm.,Fermented barley dosa enhances gut health and stabilizes blood sugar.,8,"Barley,Olive Oil,Black Pepper",1
Barley Dosa Variant (peppery),200,3,0,"Spicy,Astringent",Total in 20 M,Cook barley. Roast almonds and seeds in olive oil. Mix with broccoli. Add black pepper. Serve warm.,Peppery barley dosa aids digestion and glycemic control.,8,"Barley,Olive Oil,Black Pepper",1
Barley Dumpling (steamed) (herb-Crunch),220,8,40,"Spicy,Astringent",Total in 25 M,Cook barley. Roast capsicum in olive oil. Squeeze Lemon over mixture. Mix well. Serve warm.,Herb-crunch barley dumplings improve fiber intake and support blood sugar.,10,"Barley,Olive Oil,Basil Leaves,Black Pepper",1
Barley Idli Variant (coriander-Mint),180,3,15,"Spicy,Astringent",Total in 20 M,Cook barley. Roast capsicum in olive oil. Mix salt and black pepper. Combine. Serve warm.,Coriander-mint barley idli supports glycemic control and provides antioxidants.,10,"Barley,Olive Oil,Coriander Leaves,Black Pepper",1
Barley Idli Variant (cumin-Roasted),160,3.5,35,"Spicy,Astringent",Total in 20 M,Cook barley. Roast kale in olive oil. Add coriander leaves. Mix black pepper. Serve warm.,Cumin-roasted barley idli aids digestion and blood sugar management.,10,"Barley,Olive Oil,Cumin Seeds,Black Pepper",1
Barley Idli Variant (fenugreek-Seasoned),140,3,38,"Spicy,Astringent",Total in 20 M,Cook barley. Roast basil leaves in olive oil. Mix with barley. Add black pepper. Serve warm.,Fenugreek-seasoned barley idli helps regulate blood sugar.,10,"Barley,Olive Oil,Fenugreek Seeds,Black Pepper",1
Barley Idli Variant (herbed),130,4,25,"Spicy,Astringent",Total in 20 M,Cook barley. Roast mushrooms in olive oil. Squeeze Lemon over mixture. Mix black pepper. Serve warm.,Herb-barley idli improves fiber and glycemic control.,10,"Barley,Olive Oil,Basil Leaves,Black Pepper",2
Barley Idli Variant (seed-Mix),120,4,28,"Spicy,Astringent",Total in 25 M,Cook barley. Roast mushrooms in olive oil. Mix black pepper. Combine well. Serve warm.,Seed-mix barley idli provides healthy fats and stabilizes blood sugar.,10,"Barley,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",2
Barley Idli Variant (turmeric-Ginger),150,3,30,"Spicy,Astringent",Total in 20 M,Cook barley. Roast almonds and seeds in olive oil. Mix with mushrooms. Add black pepper. Serve warm.,Turmeric-ginger barley idli reduces inflammation and supports glycemic control.,10,"Barley,Olive Oil,Turmeric,Ginger,Black Pepper",2
Barley Kebab (baked) (ginger-Garlic),170,3,32,"Spicy,Astringent",Total in 25 M,Cook barley. Roast pumpkin in olive oil. Mix black pepper. Combine. Serve warm.,"Ginger-garlic barley kebabs improve flavor, digestion, and glycemic control.",12,"Barley,Olive Oil,Ginger,Garlic,Black Pepper",2
Barley Kebab (baked) (mustard-Toss),180,2.5,28,"Spicy,Astringent",Total in 25 M,Cook barley. Roast pumpkin in olive oil. Mix salt and black pepper. Combine. Serve warm.,Mustard-toss barley kebabs improve circulation and stabilize blood sugar.,12,"Barley,Olive Oil,Mustard Seeds,Black Pepper",1
Barley Khichdi (fermented),160,3,25,"Spicy,Astringent",Total in 25 M,Cook barley. Roast almonds and seeds in olive oil. Mix with pumpkin. Add black pepper. Serve warm.,Fermented barley khichdi improves gut health and glycemic control.,10,"Barley,Lentils,Olive Oil,Black Pepper",1
Barley Khichdi (ginger-Garlic),120,3.5,20,"Spicy,Astringent",Total in 25 M,Cook barley. Boil raw banana. Mix barley with banana. Add olive oil and black pepper. Serve warm.,Ginger-garlic barley khichdi supports blood sugar management.,10,"Barley,Olive Oil,Ginger,Garlic,Black Pepper",1
Barley Kofta (baked) (pulao-Style),140,4,18,"Spicy,Astringent",Total in 25 M,Cook barley. Roast sweet potato in olive oil. Squeeze Lemon over mixture. Mix black pepper. Serve warm.,Pulao-style barley kofta is diabetes-friendly and high in fiber.,12,"Barley,Olive Oil,Black Pepper,Cumin Seeds",1
Barley Kofta (baked) (turmeric-Ginger),130,4,22,"Spicy,Astringent",Total in 25 M,Cook barley. Roast sweet potato in olive oil. Mix black pepper. Combine. Serve warm.,Turmeric-ginger barley kofta reduces inflammation and supports glycemic control.,12,"Barley,Olive Oil,Turmeric,Ginger,Black Pepper",1
Barley Paniyaram (cumin-Roasted),150,3,20,"Spicy,Astringent",Total in 20 M,Cook barley. Roast turmeric and ginger in olive oil. Add sweet potato. Mix black pepper. Serve warm.,Cumin-roasted barley paniyaram helps digestion and stabilizes blood sugar.,10,"Barley,Olive Oil,Cumin Seeds,Black Pepper",1
Barley Paniyaram (curry-Leaf),120,3.5,25,"Sour,Spicy",Total in 20 M,Cook barley. Slightly ferment turnip. Mix with barley. Add olive oil and black pepper. Serve warm.,Curry-leaf barley paniyaram supports blood sugar and adds antioxidants.,10,"Barley,Olive Oil,Curry Leaves,Black Pepper",1
Barley Patties (coriander-Mint),130,3,18,"Spicy,Astringent",Total in 25 M,Cook barley. Roast black pepper in olive oil. Add turnip. Mix well. Serve warm.,Coriander-mint barley patties help regulate blood sugar.,10,"Barley,Olive Oil,Coriander Leaves,Black Pepper",1
Barley Patties (fenugreek-Seasoned),140,3.5,20,"Spicy,Astringent",Total in 25 M,Cook barley. Roast almonds and seeds in olive oil. Add turnip. Mix black pepper. Serve warm.,Fenugreek-seasoned barley patties improve glycemic control and digestion.,10,"Barley,Olive Oil,Fenugreek Seeds,Black Pepper",1
Barley Patties (herbed),150,3,22,"Spicy,Astringent",Total in 25 M,Mix barley patties with basil leaves. Shape patties. Roast in olive oil. Add black pepper. Serve warm.,Herb-barley patties support fiber intake and glycemic control.,10,"Barley,Olive Oil,Basil Leaves,Black Pepper",1
Barley Patties (turmeric-Ginger),120,2.5,25,"Spicy,Astringent",Total in 25 M,Mix barley patties with turmeric and ginger. Shape patties. Roast in olive oil. Add black pepper. Serve warm.,Turmeric-ginger barley patties reduce inflammation and stabilize blood sugar.,10,"Barley,Olive Oil,Turmeric,Ginger,Black Pepper",1
Barley Porridge (coriander-Mint),130,3,12,"Spicy,Astringent",Total in 20 M,Cook barley. Add coriander leaves. Mix with olive oil. Add black pepper. Serve warm.,Coriander-mint barley porridge supports glycemic control and adds antioxidants.,10,"Barley,Olive Oil,Coriander Leaves,Black Pepper",2
Barley Porridge (herbed),140,3,15,"Spicy,Astringent",Total in 20 M,Cook barley. Mix basil leaves in olive oil. Add black pepper. Serve warm. Optional garnish.,Herb-barley porridge improves fiber intake and supports blood sugar stability.,10,"Barley,Olive Oil,Basil Leaves,Black Pepper",2
Barley Pulao (herbed),150,3.5,18,"Spicy,Astringent",Total in 25 M,Cook barley. Roast basil leaves. Mix with barley. Add olive oil and black pepper. Serve warm.,Herb-barley pulao supports blood sugar control and digestion.,10,"Barley,Olive Oil,Basil Leaves,Black Pepper",2
Barley Pulao (Lemon-Dressed),160,3,20,"Sour,Spicy",Total in 20 M,Cook barley. Squeeze Lemon over pulao. Mix well. Serve warm.,Lemon-dressed barley pulao aids digestion and stabilizes blood sugar.,10,"Barley,Olive Oil,Lemon,Black Pepper",1
Barley Pulao (sprouted),140,3.5,22,"Spicy,Astringent",Total in 25 M,Cook barley. Add Barley. Mix with olive oil and black pepper. Serve warm.,Barley pulao improves nutrient absorption and glycemic control.,10,"Barley,Olive Oil,Barley,Black Pepper",1
Barley Pulao (turmeric-Ginger),130,3,24,"Spicy,Astringent",Total in 25 M,Cook barley. Roast turmeric and ginger in olive oil. Mix with barley. Add black pepper. Serve warm.,Turmeric-ginger barley pulao reduces inflammation and supports blood sugar.,10,"Barley,Olive Oil,Turmeric,Ginger,Black Pepper",1
Barley Roast (curry-Leaf),120,3.5,28,"Sour,Spicy",Total in 20 M,Cook barley. Roast curry leaves in olive oil. Mix well. Add black pepper. Serve warm.,Curry-leaf barley roast supports glycemic control and adds antioxidants.,10,"Barley,Olive Oil,Curry Leaves,Black Pepper",1
Barley Roast (Lemon-Dressed),100,3,30,"Sour,Spicy",Total in 20 M,Cook barley. Squeeze Lemon over roast. Mix well. Add black pepper. Serve warm.,Lemon-dressed barley roast helps digestion and glycemic control.,5,"Barley,Olive Oil,Lemon,Black Pepper",1
Barley Roast (seed-Mix),120,3.5,32,"Spicy,Astringent",Total in 20 M,Cook barley. Roast almonds and sunflower seeds. Mix with barley. Add olive oil and black pepper. Serve warm.,Seed-mix barley roast provides healthy fats and fiber for blood sugar support.,5,"Barley,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",1
Barley Salad (pulao-Style),180,3,35,"Spicy,Astringent",Total in 20 M,Cook barley. Roast basil leaves. Mix with barley. Add olive oil and black pepper. Serve warm.,Pulao-style barley salad is rich in fiber and stabilizes blood sugar.,5,"Barley,Olive Oil,Basil Leaves,Black Pepper",1
Barley Soup (sprouted),160,3.5,25,"Spicy,Astringent",Total in 20 M,Cook barley sprouts. Mix with olive oil and black pepper. Serve warm. Garnish with basil leaves. Optional lemon.,Barley soup improves digestion and glycemic control.,5,"Barley Sprouts,Olive Oil,Basil Leaves,Black Pepper",1
Barley Tikka (grilled) (Lemon-Dressed),170,3,28,"Sour,Spicy",Total in 25 M,Prepare barley tikka mixture. Add Lemon juice. Grill until golden. Drizzle olive oil. Serve hot.,Lemon-dressed barley tikka supports blood sugar and adds flavor.,5,"Barley,Olive Oil,Lemon,Black Pepper",1
Barley Upma (fermented),120,3.5,30,"Spicy,Astringent",Total in 25 M,Ferment barley upma. Cook with olive oil. Add black pepper. Mix well. Serve warm.,Fermented barley upma aids digestion and glycemic control.,5,"Barley,Olive Oil,Black Pepper",1
Barley Upma (herbed),130,3,20,"Spicy,Astringent",Total in 25 M,Roast basil leaves in olive oil. Mix with barley upma. Add black pepper. Serve warm. Optional garnish.,Herb barley upma supports fiber intake and stabilizes blood sugar.,5,"Barley,Olive Oil,Basil Leaves,Black Pepper",1
Barley Upma (mustard-Toss),140,3.5,18,"Spicy,Astringent",Total in 25 M,Roast mustard seeds in olive oil. Mix with barley upma. Add black pepper. Serve warm. Optional garnish.,Mustard-toss barley upma supports circulation and glycemic control.,5,"Barley,Olive Oil,Mustard Seeds,Black Pepper",1
Barley Upma (pulao-Style),150,3,15,"Spicy,Astringent",Total in 25 M,Prepare pulao-style barley upma. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Pulao-style barley upma is diabetes-friendly and high in fiber.,5,"Barley,Olive Oil,Basil Leaves,Black Pepper",1
Barley Upma (seed-Mix),100,3.5,12,"Spicy,Astringent",Total in 25 M,Mix barley with almonds and sunflower seeds. Roast lightly in olive oil. Add black pepper. Shape as wrap. Serve warm.,Seed-mix barley wrap provides healthy fats and stabilizes blood sugar.,5,"Barley,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",1
Barley Wrap (seed-Mix),120,3,15,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Mix with chickpeas and curry leaves. Add olive oil and black pepper. Serve warm.,Curry-leaf barnyard khichdi supports glycemic control and fiber intake.,5,"Barnyard Millet,Chickpeas,Olive Oil,Curry Leaves,Black Pepper",1
Barnyard Millet And Chickpea Khichdi (curry-Leaf),130,3.5,18,"Spicy,Astringent",Total in 25 M,"Cook barnyard millet. Mix with chickpeas, ginger, and garlic. Roast lightly in olive oil. Add black pepper. Serve warm.",Ginger-garlic barnyard khichdi aids digestion and blood sugar management.,5,"Barnyard Millet,Chickpeas,Olive Oil,Ginger,Garlic,Black Pepper",1
Barnyard Millet And Chickpea Khichdi (ginger-Garlic),120,3,20,"Sour,Spicy",Total in 25 M,Cook barnyard millet. Squeeze Lemon juice. Mix with chickpeas. Roast in olive oil. Serve warm.,Lemon-dressed barnyard khichdi is diabetes-friendly and enhances flavor.,5,"Barnyard Millet,Chickpeas,Olive Oil,Lemon,Black Pepper",1
Barnyard Millet And Chickpea Khichdi (Lemon-Dressed),140,3.5,25,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Prepare pulao-style khichdi with chickpeas. Mix with olive oil. Add black pepper. Serve warm.,Pulao-style barnyard khichdi is high in fiber and stabilizes blood sugar.,5,"Barnyard Millet,Chickpeas,Olive Oil,Black Pepper",1
Barnyard Millet And Chickpea Khichdi (pulao-Style),160,3,30,"Spicy,Astringent",Total in 25 M,Roast cumin seeds. Mix with barnyard millet and lentils. Cook lightly with olive oil. Add black pepper. Serve warm.,Cumin-roasted barnyard lentil khichdi aids digestion and glycemic control.,5,"Barnyard Millet,Lentils,Olive Oil,Cumin Seeds,Black Pepper",1
Barnyard Millet And Lentil Khichdi (cumin-Roasted),130,3.5,28,"Sour,Spicy",Total in 25 M,Cook barnyard millet. Mix with lentils and curry leaves. Roast in olive oil. Add black pepper. Serve warm.,Curry-leaf barnyard lentil khichdi stabilizes blood sugar and adds flavor.,5,"Barnyard Millet,Lentils,Olive Oil,Curry Leaves,Black Pepper",1
Barnyard Millet And Lentil Khichdi (curry-Leaf),120,3,25,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Mix with lentils and fenugreek seeds. Roast lightly in olive oil. Add black pepper. Serve warm.,Fenugreek-seasoned lentil khichdi aids blood sugar management.,5,"Barnyard Millet,Lentils,Olive Oil,Fenugreek Seeds,Black Pepper",1
Barnyard Millet And Lentil Khichdi (fenugreek-Seasoned),150,3.5,30,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Roast basil leaves in olive oil. Mix with lentils. Add black pepper. Serve warm.,Herb-crunch barnyard lentil khichdi improves fiber intake and glycemic control.,5,"Barnyard Millet,Lentils,Olive Oil,Basil Leaves,Black Pepper",1
Barnyard Millet And Lentil Khichdi (herb-Crunch),120,3,32,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Mix with lentils. Add black pepper and olive oil. Serve warm. Optional garnish.,No-salt barnyard lentil khichdi is diabetes-friendly and supports digestion.,5,"Barnyard Millet,Lentils,Olive Oil,Black Pepper",1
Barnyard Millet And Lentil Khichdi (no-Salt-Added),100,3.5,20,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Add black pepper. Mix with lentils. Roast lightly in olive oil. Serve warm.,Peppery barnyard lentil khichdi aids digestion and glycemic control.,5,"Barnyard Millet,Lentils,Olive Oil,Black Pepper",1
Barnyard Millet And Lentil Khichdi (peppery),110,3,22,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Roast almonds and sunflower seeds. Mix with lentils. Add olive oil. Serve warm.,Seed-mix barnyard lentil khichdi stabilizes blood sugar and provides healthy fats.,5,"Barnyard Millet,Lentils,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",1
Barnyard Millet And Lentil Khichdi (seed-Mix),130,3.5,25,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Mix with sprouted lentils. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted barnyard lentil khichdi enhances nutrient absorption and glycemic control.,5,"Barnyard Millet,Lentils,Olive Oil,Sprouted Lentils,Black Pepper",1
Barnyard Millet And Lentil Khichdi (sprouted),140,3,28,"Spicy,Astringent",Total in 25 M,Roast cumin seeds. Mix with barnyard millet and soybeans. Cook lightly with olive oil. Add black pepper. Serve warm.,Cumin-roasted soybean khichdi supports digestion and blood sugar stability.,5,"Barnyard Millet,Soybeans,Olive Oil,Cumin Seeds,Black Pepper",1
Barnyard Millet And Soybean Khichdi (cumin-Roasted),150,3.5,30,"Spicy,Astringent",Total in 25 M,"Cook barnyard millet. Mix with soybeans, ginger, and garlic. Roast lightly in olive oil. Add black pepper. Serve warm.",Ginger-garlic soybean khichdi aids digestion and glycemic control.,5,"Barnyard Millet,Soybeans,Olive Oil,Ginger,Garlic,Black Pepper",1
Barnyard Millet And Soybean Khichdi (ginger-Garlic),130,3,25,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Roast basil leaves. Mix with soybeans. Add olive oil and black pepper. Serve warm.,Herb-seasoned soybean khichdi improves fiber intake and glycemic control.,5,"Barnyard Millet,Soybeans,Olive Oil,Basil Leaves,Black Pepper",1
Barnyard Millet And Soybean Khichdi (herbed),90,3.5,22,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Mix with soybeans and mustard seeds. Roast in olive oil. Add black pepper. Serve warm.,Mustard-toss soybean khichdi supports circulation and blood sugar management.,5,"Barnyard Millet,Soybeans,Olive Oil,Mustard Seeds,Black Pepper",1
Barnyard Millet And Soybean Khichdi (mustard-Toss),100,3,20,"Spicy,Astringent",Total in 25 M,Cook barnyard millet. Mix with soybeans. Roast lightly in olive oil. Add black pepper. Serve warm.,No-salt soybean khichdi is diabetes-friendly and supports digestion.,5,"Barnyard Millet,Soybeans,Olive Oil,Black Pepper",1–2
Barnyard Millet And Soybean Khichdi (no-Salt-Added),120,3.5,18,"Spicy,Astringent",Total in 25 M,Prepare pulao-style barnyard millet with soybeans. Roast lightly in olive oil. Add black pepper. Serve warm. Optional garnish.,Pulao-style soybean khichdi stabilizes blood sugar and provides fiber.,5,"Barnyard Millet,Soybeans,Olive Oil,Black Pepper",1–2
Barnyard Millet And Soybean Khichdi (pulao-Style),130,3,16,"Spicy,Astringent",Total in 25 M,Cook barnyard millet and soybeans. Prepare pulao-style mixture. Roast lightly in olive oil. Add black pepper. Serve warm.,Pulao-style soybean khichdi is fiber-rich and helps stabilize blood sugar.,5,"Barnyard Millet,Soybeans,Olive Oil,Black Pepper",1
